rawData	tokens	sentiment	Category
The Ukraine war has sparked a dilemma for creators: What should they say and do about the conflict?	ukraine war sparked dilemma creator say conflict	-0.7845	Negative
"\@edwardlucas @anneapplebaum \""\""Primus inter pares\""\"" about sums up the Russian mindset when dealing with the post soviet space. Do the current RF admin seriously believe the Baltic states joined CCCP voluntary as Krylov claimed? Thankfully they're so fully integrated into NATO a Ukraine scenario is unthinkable\""""	primus inter pares sum mindset dealing post soviet space current rf admin seriously believe baltic state joined cccp voluntary krylov claimed thankfully theyre fully integrated nato ukraine scenario unthinkable	0.2732	Neutral"
@Eliseo__75 @Quicktake Ukraine voiced interest in joining nato.  Russia then deploys to Ukraine border. Threatening invasion. United States does not own nato. It’s 30 countries that agree to help each other in situations like this. Because Ukraine might join nato Russia is trying to scare them.	ukraine voiced interest joining nato russia deploys ukraine border threatening invasion united state nato country agree help situation like ukraine join nato russia trying scare	0.7964	Positive
Media is telling us war is imminent between Russia and Ukraine but Snapchat maps says otherwise. They’re getting lit at the border towns.	medium telling u war imminent russia ukraine snapchat map say otherwise theyre getting lit border town	-0.3506	Neutral
"'rawDescription': \\""Nation States sovereignty doesn't extent to Human Rights abuse. Universal Human Rights are borderless.\""\""""	rawdescription nation state sovereignty doesnt extent human right abuse universal human right borderless	-0.6369	Negative"
No War in Ukraine.	war ukraine	-0.7269	Negative
"\\""\""What he (Putin) really wants is respect. And my God""	putin really want respect god	0.6666	Positive"
30 years of post-Cold War peace in Europe is being shattered by the Ukraine crisis. by BY STEVEN ERLANGER https://t.co/K1eCW41mBk	year postcold war peace europe shattered ukraine crisis steven erlanger	-0.8225	Negative
@acoyne So apparently Putin announced today that they'll stop the offensive if Ukraine is willing to declare themselves a neutral country and doesn't host NATO troops or weapons. Why wouldn't they do that.	apparently putin announced today theyll stop offensive ukraine willing declare neutral country doesnt host nato troop weapon wouldnt	-0.7964	Negative
"'rawDescription': '“We must especially beware of that small group of selfish men who would clip the wings of the American Eagle in order to feather their own nest\\"" FDR!'""	rawdescription especially beware small group selfish men clip wing american eagle order feather nest fdr	-0.4767	Neutral"
"#UkraineInNATOnow! This is what the collective #West &amp; @NATO in particular must do if they're really ready to defend our core values. The time of business as usual, of conventional steps &amp; decisions has passed. There is no #UkraineCrisis, Ukraine's very existence is under threat!	ukraineinnatonow collective west amp particular theyre really ready defend core value time business usual conventional step amp decision passed ukrainecrisis ukraine existence threat	-0.0276	Neutral"
#Breaking #Urgent #UkraineCrisis #RussiaUkraine #Russia	breaking urgent ukrainecrisis russiaukraine russia	0.2023	Neutral
"\@eaGlobalEU The headline should be \""\""Russia calls Britain mean after they get confronted with facts\""\""""	headline russia call britain mean get confronted fact	-0.2023	Neutral"
@Zrimmy @rhonda_harbison @joycekillenshah @barbarastarrcnn I think nato should stay out of ukraine and the baltic states and even being there is insane provocation to war. nato makes us less safe by provoking russia and placing troops into traditional invasion routes. we would be better served not antagonizing eachother and getting along	think nato stay ukraine baltic state even insane provocation war nato make u le safe provoking russia placing troop traditional invasion route better served antagonizing eachother getting along	0.0948	Neutral
#WeAreStrongerTogether	wearestrongertogether	0.0	Neutral
"\@rawdenimagainim \""\""Russia is planning to invade Ukraine""	russia planning invade ukraine	0.0	Neutral"
@Peacenik45 @Femi_Sorry I sadly was one of the clowns that used to believe Russia won't invade Ukraine at all.... I was naive.	sadly one clown used believe russia wont invade ukraine naive	-0.5994	Negative
"now using it to stay updated on Ukraine's progress to victory and to advocate for them.\\""""	using stay updated ukraine progress victory advocate	0.4215	Neutral"
