rawData	tokens	sentiment	Category
at least Yankee had 911 as an excuse in recent times	least yankee excuse recent time	0.0772	Neutral
@JustinTrudeau Please demand border guards for all countries involved let refugees exit Ukraine regardless of skin color!	please demand border guard country involved let refugee exit ukraine regardless skin color	0.2023	Neutral
@Ukraine @dorosh_raw We stand with Ukraine! The CSTO cannot force us to be friends with #TerroristRussia! 🇺🇦❤️🇰🇿	stand ukraine csto cannot force u friend terroristrussia	0.4767	Neutral
Ukrainian vehicles on fire near Russian border after Russia intercepted Ukrainian covert action.	ukrainian vehicle fire near border russia intercepted ukrainian covert action	-0.34	Neutral
#StandWithUkraine https://t.co/hyD9L3dZGy	standwithukraine	0.0	Neutral
"'rawDescription': \\""She/Her\\nI'm a dummy.\\nHears of Iron and Factorio enjoyer.\\nPlease watch Kaguya-sama: Love is War.\""\""""	rawdescription shehernim dummynhears iron factorio enjoyernplease watch kaguyasama love war	0.0772	Neutral"
@zpaikin Difference is NATO stopped expanding long before Russia invaded Ukraine and built up its forces on the border.	difference nato stopped expanding long russia invaded ukraine built force border	-0.2263	Neutral
Welcome to Cold War 2. @Russia @WhiteHouse @Ukraine @NATO @Europarl_EN	welcome cold war	-0.2263	Neutral
"\@brianAburman @akarlin0 @bneeditor @olliecarroll Are you sure about that? Last time \""\""no one believed Russia is going to invade Ukraine \""\"" it invaded Ukraine and took land. You cannot act like 100k+ troops at Ukraine's border isn't suspect when it only took 20-30k to take Crimea\""""	sure last time one believed russia going invade ukraine invaded ukraine took land cannot act like k troop ukraine border isnt suspect took k take crimea	-0.0315	Neutral"
#Live: #Russia prepares for fresh #war games along border with #Ukraine. https://t.co/jGYKQMvaWn	live russia prepares fresh war game along border ukraine	-0.3818	Neutral
If #Russia would invade #Ukraine and the EU countries would stop taking gas from Russia. How much BTC could russia approx. mine with the spare gas?	russia invade ukraine eu country stop taking gas russia much btc russia approx mine spare gas	-0.296	Neutral
The EU and NATO should defend Ukraine against Russia and conceding even an ounce to putin will be a failure that will only encourage more bullshit from that bigoted oligarchy	eu nato defend ukraine russia conceding even ounce putin failure encourage bullshit bigoted oligarchy	-0.624	Negative
#StandWithUkraine https://t.co/rLpgQutN3s	standwithukraine	0.0	Neutral
London solidarity with Ukraine against Russian imperialism. The massing of Russian forces on the Ukraine border is war-mongering intimidation &amp; bullying! This crisis is manufactured by Putin to distract fr his regime's many failings. It threatens war in Europe! #StandWithUkraine	london solidarity ukraine imperialism massing force ukraine border warmongering intimidation amp bullying crisis manufactured putin distract fr regime many failing threatens war europe standwithukraine	-0.9771	Negative
Lukashenka at military unit on the border of Ukraine repeating Russian propaganda: It is inappropriate for us that young men with Nazi swastika marching central Kyiv. We remember Khatyn massacre. Thats why we need to react https://t.co/a8Nz6J7Alw	lukashenka military unit border ukraine repeating propaganda inappropriate u young men nazi swastika marching central kyiv remember khatyn massacre thats react	-0.25	Neutral
Biden sending VP Harris to Ukraine. What is she going to do giggle and snicker at Putin's troops. https://t.co/t2zSBCpWF8	biden sending vp harris ukraine going giggle snicker putin troop	0.4215	Neutral
"'rawDescription': 'It\\'s pronounced \\""Owen.\""\"" eoinhiggins@gmail.com Signal: 360-481-9055 repped by @erikhane'""	rawdescription pronounced owen eoinhigginscom signal repped	0.0	Neutral"
"#Airlines are altering schedules to limit their exposure to Ukrainian #airspace, though #flights into and out of #Ukraine are continuing as its standoff with #Russian #troops massed at the border intensifies. #Travel #Europe https://t.co/clNJ4kTQYA	airline altering schedule limit exposure ukrainian airspace though flight ukraine continuing standoff troop massed border intensifies travel europe	0.0	Neutral"
@NatashaBertrand @barbarastarrcnn I’m study IR for a living and I still don’t get it. Russia isn’t attacking NATO and won’t. This is a European security issue. Let Europe deploy troops. Let Ukraine defend itself. Use sanctions. But US has no business sending troops. It’s only escalating the matter.	im study ir living still dont get russia isnt attacking nato wont european security issue let europe deploy troop let ukraine defend use sanction u business sending troop escalating matter	-0.0541	Neutral
I stand with Ukraine🇺🇦. My heart goes out to everyone in Ukraine.	stand ukraine heart go everyone ukraine	0.0	Neutral
@joycevspeace @JamesRMcKinney1 @ChaseMadar @PopovaProf Now I’ve got a hypothetical for you:	ive got hypothetical	0.0	Neutral
discussing Ukraine's history	discussing ukraine history	0.0	Neutral
Belarus joined Russian troops invading Ukraine last night. Sanctions are coming for them as well. @WLWT	belarus joined troop invading ukraine last night sanction coming well	0.2732	Neutral
"'rawDescription': \\""International political analysis it's for islam.\\nElectrical Engineer and hard working person in this subject. Now unemployed person.\""\""""	rawdescription international political analysis islamnelectrical engineer hard working person subject unemployed person	-0.1027	Neutral"
@RepDrewFerguson I’m a constituent in favor of about all of this. I just beg you stand up to defense lobbyists that would have us go to another useless war in Ukraine. That country is not in our interests and would end no different than Afghanistan.	im constituent favor beg stand defense lobbyist u go another useless war ukraine country interest end different afghanistan	-0.7536	Negative
If you own some crypto lets show the world the power of Web3	crypto let show world power web	0.0	Neutral
@HonourableMembr @CNN Russia is on their doorstep ready to invade and you think it's the CIA? 🤣	russia doorstep ready invade think cia	0.3612	Neutral
📞call btw FM @luigidimaio and 🇫🇷 FM @JY_LeDrian on the situation on the Russian-Ukrainian border. Support for territorial integrity and full sovereignty of Ukraine and for NATO-Russia dialogue https://t.co/A3KdWIOi1V	call btw fm fm situation russianukrainian border support territorial integrity full sovereignty ukraine natorussia dialogue	0.6486	Positive
#CryptoInu #cryptocurrency  #UkraineWar	cryptoinu cryptocurrency ukrainewar	0.0	Neutral
"'rawDescription': \\""Phone gamer - I hate kids & humans. My tweets aren't up for debate. I rant & I use 🤡🙄🙄🤡 alot \\n\\n(Also stay out my mentions with your opinions)\""\""""	rawdescription phone gamer hate kid human tweet arent debate rant use alot nnalso stay mention opinion	-0.7269	Negative"
"\\""\""US Defense Secretary Lloyd Austin announced on Friday the planned sale of 250 Abrams tanks to Poland""	u defense secretary lloyd austin announced friday planned sale abrams tank poland	0.128	Neutral"
Ukraine war: UK assents 2 more Russian oligarchs https://t.co/7LEvda5BGZ	ukraine war uk assent oligarch	-0.5994	Negative
