rawData	tokens	sentiment	Category
@lauriem01049490 False Flag?  Are you suggesting Russia isn't going to invade Ukraine?	false flag suggesting russia isnt going invade ukraine	0.0	Neutral
"'description': 'Johnson \\'16; Trump \\'20\\n\\""more speech""	description johnson trump nmore speech	0.0	Neutral"
Putin is expecting Ukraine to retaliate so he can respond with his troops .There's magically around 50% Russian troops in attack positions surrounding Ukraines borders but Putin is trying to get UKRAINE to attack. Putin is using car bombs and explosions to provoke. Clever i guess	putin expecting ukraine retaliate respond troop there magically around troop attack position surrounding ukraine border putin trying get ukraine attack putin using car bomb explosion provoke clever guess	-0.6956	Negative
Why Is it Not in Russia's Interest to Invade Ukraine? - VisualPolitik EN https://t.co/8yBTmk0yP0 https://t.co/SPpCNrWgqb	russia interest invade ukraine visualpolitik en	-0.357	Neutral
@RexChapman Courage! #StandWithUkraine 🇺🇦 #NoToWar #EndTheWar #PeaceforUkraine 💙💛	courage standwithukraine notowar endthewar peaceforukraine	0.4939	Neutral
@texas27th @GregAbbott_TX @BetoORourke Beto is a weak puppet like Biden no thanks he’ll open our borders even more let Russia invade through Mexico	beto weak puppet like biden thanks hell open border even let russia invade mexico	-0.6486	Negative
@becca_oneal The US sanctioned the areas to stop money and resources to flowing through those areas because they are settings up Putin to push troops into Ukraine	u sanctioned area stop money resource flowing area setting putin push troop ukraine	-0.296	Neutral
@ESResist Russia's actions in Ukraine threaten European citizens abroad.  At the very least all Russian citizens in Europe should be expelled because their presence has been used as justification to invade a sovereign state.	russia action ukraine threaten european citizen abroad least citizen europe expelled presence used justification invade sovereign state	-0.5574	Negative
"\\""\""The situation in the JFO area is stable""	situation jfo area stable	0.296	Neutral"
Defeat of the United States in case of war with Russia. https://t.co/U4hR0qMTix	defeat united state case war russia	-0.6249	Negative
Los mismos Colombianos que defienden a Uribe por mandar matar a miles de falsos positivos son los mismos que repiten propaganda Rusa y justifican la invasion de Ucrania.	los mismos colombianos que defienden uribe por mandar matar mile de falsos positivos son los mismos que repiten propaganda rusa justifican la invasion de ucrania	-0.25	Neutral
"'rawDescription': '\\""The most underrated tweeter of all time.\""\""\\n- The Tweet Times Post Tribune'""	rawdescription underrated tweeter timen tweet time post tribune	0.0	Neutral"
Yeah it's as stupid as us defending the border of Ukraine and not our own. https://t.co/EFFWZ7mOYs	yeah stupid u defending border ukraine	-0.296	Neutral
@erigganewmoney As war still dey go on people still dey fuck for Ukraine sef	war still dey go people still dey fuck ukraine sef	-0.8126	Negative
The digital propaganda playbook now includes creating a fake persona who only shares Iwo Jima memes...	digital propaganda playbook includes creating fake persona share iwo jima meme	-0.1779	Neutral
#Russia and #Ukraine troops are holding military exercises amid fears of an armed conflict between the two sides	russia ukraine troop holding military exercise amid fear armed conflict two side	-0.6249	Negative
"covers exclusive and latest news across the state and Gulf region.\\""""	cover exclusive latest news across state gulf region	0.128	Neutral"
@NatashaBertrand Could be regime ending.	regime ending	0.0	Neutral
UN says Russian troops ‘not peacekeepers’ – Live - https://t.co/ccaborYzj8	un say troop peacekeeper live	-0.2924	Neutral
And #Ukraine's first deputy foreign minister told the UN Human Rights Council that Russian troops were carrying out acts that amount to war crimes in Ukraine.	ukraine first deputy foreign minister told un human right council troop carrying act amount war crime ukraine	-0.5994	Negative
#StandWithUkraine #PutinHitlerFascism #GOPRepublicanFascismDegrades #FoxNewsFascistPropaganda https://t.co/5N4YchAFBu	standwithukraine putinhitlerfascism goprepublicanfascismdegrades foxnewsfascistpropaganda	0.0	Neutral
#standwithUkraine	standwithukraine	0.0	Neutral
Big Breaking Now	big breaking	0.0	Neutral
@mi6rogue Good suggestion	good suggestion	0.4404	Neutral
"\@novaramedia ...u. hier noch die Links zur Quelle v. Clip ... das Home v. @novaramedia ist hier https://t.co/qLDAndwESH - wo es unter \""\""Video\""\"" die Videos gibt o. unter #TyskySour auf #YouTube - spez. \""\""Russia and West Fight Information War Over Ukraine\""\"" hier:""	hier noch die link zur quelle v clip da home v ist hier e unter video die video gibt unter tyskysour auf youtube spez russia west fight information war ukraine hier	-0.936	Negative"
#StandWithUkraine	standwithukraine	0.0	Neutral
Still think this is ‘blink n fold’ brinkmanship.	still think blink n fold brinkmanship	0.0	Neutral
🚨 WAR DRUMS: Military aid from the US arrives in Ukraine ready to aid against Russian invasion. https://t.co/vp66GwvZDy	war drum military aid u arrives ukraine ready aid invasion	-0.34	Neutral
@blackintheempir @allearthlife So you think 125k Russian troops on three borders of Ukraine is a trumped up media  push for war? How in hell do you twist things so badly? The threat of war is coming from one source: Putin. Not the media.	think k troop three border ukraine trumped medium push war hell twist thing badly threat war coming one source putin medium	-0.9685	Negative
How do young #Ukrainians and #Russians feel about another #war? | Ukraine-Russia #crisis News | Al Jazeera https://t.co/5DscinMDX5 via @AJEnglish	young ukrainian russian feel another war ukrainerussia crisis news al jazeera via	-0.8402	Negative
