rawData	tokens	sentiment	Category
@calxandr #StandWithUkraine	standwithukraine	0.0	Neutral
Maybe Russia will invade Canada to set the Canadian people free. #CanadaHasFallen	maybe russia invade canada set canadian people free canadahasfallen	0.5106	Positive
@nypost He wouldn't have had to invade.  Trump would have used American troops to hold Ukraine's border open for Russian troops.	wouldnt invade trump used american troop hold ukraine border open troop	0.0	Neutral
🇺🇦 Ministério da Defesa da #Ucrânia e bancos estatais do país sofrem ciberataque; autoridades ucranianas não descartam que a ação tenha sido executada por criminosos da #Rússia diante da tensão entre as duas nações	ministrio da defesa da ucrnia e bancos estatais pa sofrem ciberataque autoridades ucranianas descartam que ao tenha sido executada por criminosos da rssia diante da tenso entre duas naes	-0.296	Neutral
Putin wanted to prevent Ukraine from joining NATO… and succeeded in uniting all of Europe against him. https://t.co/dLhsbV2jg9	putin wanted prevent ukraine joining nato succeeded uniting europe	0.4404	Neutral
Putin is a bully and he is looking for entry into his glory days. The rest of the world needs to stand up for Ukraine and push Russia to an economic catastrophe	putin bully looking entry glory day rest world need stand ukraine push russia economic catastrophe	-0.6249	Negative
@Ukraine #StandWithUkraine ❤️	standwithukraine	0.0	Neutral
Being so close to the war with Ukraine in Poland is ridiculous	close war ukraine poland ridiculous	-0.7506	Negative
@Phost3 No but I don’t stand with Ukraine	dont stand ukraine	-0.1531	Neutral
Not even Russia can invade my #grindset	even russia invade grindset	0.0	Neutral
Stand with @antonioguterres.	stand	0.0	Neutral
@Emywinst #StandWithUkraine  🇺🇦 https://t.co/hyliUw5o6O	standwithukraine	0.0	Neutral
US and allies discussing deploying more troops to Eastern Europe prior to any Russian invasion of Ukraine	u ally discussing deploying troop eastern europe prior invasion ukraine	0.0	Neutral
🔥BREAKING 🔥	breaking	0.0	Neutral
"\\""\""Only one thing can affect these [Russian-Ukrainian] relations: if Putin is put in his place""	one thing affect russianukrainian relation putin put place	0.0	Neutral"
"\@William16723077 Ukraine had a lot of nuclear and missile sites and tech. Major gas pipelines from black sea to Europe. Used to be \""\"" bread basket of Soviet union\""\"". Cower other small states to join him to keep NATO off his border.\""""	ukraine lot nuclear missile site tech major gas pipeline black sea europe used bread basket soviet union cower small state join keep nato border	0.296	Neutral"
"\Pick another name!!!!! \""\""pro Russian territories\""\""  is a Russian Concession and Appeasement.  Try \""\""Innocent 3rd Party Places\""\""  or \""\""Forshadowed and Telegraphed Events of Imperialist equal to Catherine the Great but with 145""	pick another name pro territory concession appeasement try innocent rd party place forshadowed telegraphed event imperialist equal catherine great	0.6249	Positive"
#StandWithUkraine	standwithukraine	0.0	Neutral
"'rawDescription': \\""Hello from NYC! Proud of President Biden and VP Harris. Hopeful that justice will prevail - soon. #Resist (NO DM's or LISTS pls.) 🌻\""\""""	rawdescription hello nyc proud president biden vp harris hopeful justice prevail soon resist dm list pls	0.836	Positive"
@mfa_russia @RusEmbUSA @StateDept @eDipAtState @RussianEmbassy @FCDOGovUK @EmbassyofRussia @RusEmbAU @RussianEmbassyC @RusembUkraine @FranceEnRussie Putin's regime is a modern day III Reich planning to invade independent country under the false pretenses. I hope that one day Russia will be free from authoritarian kleptocrats distracting Russians from corruption and poverty.	putin regime modern day iii reich planning invade independent country false pretense hope one day russia free authoritarian kleptocrats distracting russian corruption poverty	0.1779	Neutral
Why don't we tell Putin that we are going to admit Ukraine in NATO  unless he takes all his troops home .	dont tell putin going admit ukraine nato unless take troop home	0.2023	Neutral
@StateDept @NATO @POTUS #ClosetheSkyoverUkraine #StopPutinNOW  Russian troops commit crimes against humanity and use prohibited weapons. They are using terror against the civilian population of Ukraine.	closetheskyoverukraine stopputinnow troop commit crime humanity use prohibited weapon using terror civilian population ukraine	-0.6249	Negative
